time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,activity_label
5299065.0,-0.623047,1.924316,0.099121,-0.058089,-0.059688,-0.075142,0.319336,-1.879395,0.720215,-0.005063,0.137761,0.057023,chewing
5299075.0,-0.653809,1.891113,0.099121,0.011991,0.009326,-0.074609,0.293945,-1.896973,0.713379,-0.059688,0.134564,0.071145,chewing
5299085.0,-0.626465,1.913086,0.102051,0.141225,0.015721,-0.066349,0.280273,-1.876465,0.717285,-0.066616,0.103121,0.087666,chewing
5299095.0,-0.660645,1.868164,0.100586,0.184925,0.019452,-0.062352,0.30957,-1.893555,0.727539,-0.103121,0.080738,0.081804,chewing
5299105.0,-0.630371,1.798828,0.097168,0.217167,0.07008,-0.223029,0.291504,-1.887695,0.720703,-0.12577,0.060221,0.050361,chewing
5299115.0,-0.631348,1.864258,0.098145,0.273923,0.055691,-0.240616,0.293457,-1.875488,0.722656,-0.122573,0.044233,0.06102,chewing
5299125.0,-0.669922,1.852539,0.087891,0.316291,0.129234,-0.277387,0.280273,-1.885742,0.715332,-0.126037,0.005063,0.054092,chewing
5299135.0,-0.674805,1.855957,0.080566,0.255538,0.073011,-0.235819,0.291016,-1.888184,0.721191,-0.147887,-0.009859,0.03091,chewing
5299145.0,-0.677734,1.85791,0.07959,0.224894,0.13483,-0.168138,0.289063,-1.884766,0.722656,-0.150818,-0.036505,0.013057,chewing
5299155.0,-0.677246,1.836426,0.053711,0.239816,0.229158,-0.095926,0.294434,-1.890137,0.719727,-0.180928,-0.031176,-0.004796,chewing
5299165.0,-0.66748,1.852539,0.067871,0.268594,0.260067,-0.110049,0.280762,-1.901855,0.733398,-0.176398,-0.039703,-0.01732,chewing
5299175.0,-0.652344,1.83252,0.068848,0.313093,0.145222,-0.123639,0.299805,-1.902832,0.727539,-0.174799,-0.057822,-0.027179,chewing
5299185.0,-0.621094,1.854492,0.080078,0.128168,-0.066882,-0.045299,0.291016,-1.896973,0.724609,-0.148686,-0.075675,-0.020251,chewing
5299195.0,-0.592285,1.867188,0.062012,0.03464,-0.180662,-0.019718,0.300781,-1.895996,0.748535,-0.083936,-0.09113,-0.038637,chewing
