time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,true_label
1971372.0,-0.296875,-1.907715,0.641113,0.029044,0.168671,0.085801,non_chewing,0.450000,0.000,non_chewing
1971382.0,-0.30127,-1.919922,0.657715,0.027179,0.171335,0.095394,non_chewing,0.450000,0.000,non_chewing
1971392.0,-0.291992,-1.921387,0.658203,0.025314,0.167072,0.07008,non_chewing,0.450000,0.000,non_chewing
1971402.0,-0.297363,-1.910645,0.66748,0.044233,0.170003,0.021051,non_chewing,0.450000,0.000,non_chewing
1971412.0,-0.307129,-1.914063,0.657715,0.044499,0.162009,0.01279,non_chewing,0.450000,0.000,non_chewing
1971422.0,-0.305664,-1.90918,0.655273,0.034907,0.148153,0.00826,non_chewing,0.450000,0.000,non_chewing
1971432.0,-0.307617,-1.907227,0.665039,0.03544,0.118309,0.011724,non_chewing,0.450000,0.000,non_chewing
1971442.0,-0.303711,-1.902344,0.665527,0.023982,0.120708,0.005862,non_chewing,0.450000,0.000,non_chewing
1971452.0,-0.293457,-1.897949,0.673828,0.019718,0.105253,0.001599,non_chewing,0.450000,0.000,non_chewing
1971462.0,-0.297363,-1.900879,0.676758,0.011191,0.097259,-0.022383,non_chewing,0.450000,0.000,non_chewing
1971472.0,-0.303223,-1.902832,0.675781,0.012524,0.090064,-0.042101,non_chewing,0.450000,0.000,non_chewing
1971482.0,-0.291016,-1.905273,0.66748,0.006129,0.084202,-0.065283,non_chewing,0.450000,0.000,non_chewing
1971492.0,-0.290527,-1.913574,0.674316,0.0,0.081804,-0.086867,non_chewing,0.450000,0.000,non_chewing
1971502.0,-0.283691,-1.917969,0.656738,0.003198,0.058622,-0.112447,non_chewing,0.450000,0.000,non_chewing
1971512.0,-0.279785,-1.913086,0.665039,0.015988,0.059421,-0.154282,non_chewing,0.450000,0.000,non_chewing
1971522.0,-0.29248,-1.927246,0.665527,0.034907,0.085534,-0.169204,non_chewing,0.450000,0.000,non_chewing
1971532.0,-0.276367,-1.914551,0.663086,0.054092,0.072478,-0.147887,non_chewing,0.450000,0.000,non_chewing
1971542.0,-0.26709,-1.916992,0.653809,0.070346,0.118309,-0.136162,non_chewing,0.450000,0.000,non_chewing
1971552.0,-0.255859,-1.93457,0.663086,0.12124,0.118309,-0.074876,non_chewing,0.450000,0.000,non_chewing
