time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,label,elapsed_s,session_id
32517.0,0.923828,2.135742,0.47998,1.028812,-2.346469,0.650968,0.173828,-1.253906,1.727539,0.027446,-0.174799,0.229424,still,1.330000,session_20260606_121208
32527.0,0.723145,1.963867,0.630371,0.447124,-0.87453,0.689605,0.115234,-1.292969,1.689453,0.001865,-0.162276,-0.027446,still,1.340000,session_20260606_121208
32537.0,0.063477,1.825195,0.673828,0.839623,-0.847884,1.104487,0.225586,-1.118652,1.665039,0.558239,0.272058,-0.278187,still,1.350000,session_20260606_121208
32547.0,0.169434,1.843262,0.503906,1.075443,-2.049896,0.781801,0.1875,-1.372559,1.613281,0.507611,0.457783,-0.421277,still,1.360000,session_20260606_121208
32557.0,0.449219,2.000488,0.496094,0.967259,-2.591081,1.146322,-0.02002,-2.560547,1.577637,0.260867,0.649902,-0.98751,still,1.370000,session_20260606_121208
32567.0,0.461914,2.157715,0.493652,1.0003,-3.082704,1.164175,0.030762,-0.989258,1.625488,0.209173,1.485528,-1.413583,still,1.380000,session_20260606_121208
32577.0,0.360352,1.984375,0.505371,1.324319,-3.41898,1.304067,0.153809,-1.710938,0.744629,0.505746,1.622756,-7.751127,still,1.390000,session_20260606_121208
32587.0,0.169434,2.006836,0.596191,0.920361,-2.590015,1.851648,0.510742,-0.584961,1.291504,1.348567,4.425675,-8.300839,still,1.400000,session_20260606_121208
32597.0,0.085449,2.026367,0.563477,-0.594744,-1.25717,3.07551,0.821777,-0.421387,3.302246,1.086367,0.731972,-4.547982,still,1.410000,session_20260606_121208
32607.0,0.267578,2.071289,0.596191,-1.010959,-1.249443,3.372083,2.127441,2.730957,1.9375,3.385406,7.604573,-8.731442,still,1.420000,session_20260606_121208
32617.0,0.565918,1.838867,0.44873,-0.855877,-0.519069,3.402459,3.420898,2.029297,3.595703,0.588083,1.402126,1.601439,still,1.430000,session_20260606_121208
32627.0,0.672363,1.971191,0.501953,-0.48736,0.065017,2.551911,0.381348,-0.354492,2.085449,1.533225,1.772508,-2.235087,still,1.440000,session_20260606_121208
32637.0,0.65625,2.021973,0.462402,-0.775672,-0.227559,2.875396,0.358398,-0.708008,1.955078,0.875862,1.373348,-2.668888,still,1.450000,session_20260606_121208
32647.0,0.844727,1.752441,0.289551,0.14389,0.658962,2.513008,0.275391,-0.868652,1.801758,-0.371449,0.370916,-1.234521,still,1.460000,session_20260606_121208
32657.0,0.481934,1.990234,0.57373,-0.130833,1.056257,2.283051,0.300781,-0.953613,1.800293,-1.313394,0.450588,-0.712787,still,1.470000,session_20260606_121208
32667.0,0.600098,1.787109,0.697754,0.12657,1.393066,2.778138,0.352539,-1.049316,1.827637,-1.735737,0.366119,-0.376778,still,1.480000,session_20260606_121208
32677.0,0.557617,1.614258,0.477051,1.088766,0.515072,0.707991,0.31543,-1.095703,1.794922,-1.973954,0.36985,-0.044766,still,1.490000,session_20260606_121208
32687.0,0.431641,2.250488,0.415039,1.145789,1.55774,0.767145,0.330078,-1.113281,1.780273,-2.060554,0.384772,0.111115,still,1.500000,session_20260606_121208
32697.0,0.668457,2.273438,0.595703,0.249942,0.242747,0.542251,0.370117,-1.108398,1.806152,-2.510343,0.347201,0.196916,still,1.510000,session_20260606_121208
32707.0,0.650391,1.810547,0.462402,-0.023182,1.600907,0.103121,0.367188,-1.128906,1.804688,-2.534858,0.213703,0.144423,still,1.520000,session_20260606_121208
32717.0,0.608398,1.899414,0.415527,0.077541,0.860141,0.062086,0.376465,-1.148926,1.79541,-2.9143,0.083136,0.125237,still,1.530000,session_20260606_121208
32727.0,0.645996,2.003418,0.556152,-0.377577,0.190787,0.369317,0.470215,-1.143066,1.754883,-3.38061,-0.209972,0.358925,still,1.540000,session_20260606_121208
32737.0,0.443359,1.959961,0.503906,-1.266763,-0.425807,0.348799,0.364746,-1.192871,1.729004,-3.749926,-0.289378,0.597409,still,1.550000,session_20260606_121208
32747.0,0.291992,1.874512,0.588867,-1.442894,-0.609933,1.119409,0.354492,-1.230957,1.724121,-3.952438,-0.437531,0.497752,still,1.560000,session_20260606_121208
32757.0,0.602051,1.815918,0.546387,-0.842288,-0.162009,0.90011,0.239746,-1.226074,1.634766,-3.856778,-0.655231,0.550778,still,1.570000,session_20260606_121208
